Solvent,TPSA_solv,MW_solv,HeavyAtomCount_solv,Gsolv_sol,Dipole_sol,Polarizability_sol,HOMO_sol,LUMO_sol,MaxPartialCharge_sol,MinPartialCharge_sol,LogP_sol
MX_0.1-CHO_0.9,15.533700000000001,98.7936226242,7.09,-0.13944118229935723,2.56965992,136.49034874,-0.25263189999999996,-0.09912080000000001,0.7737400000000001,-0.7094900000000001,1.5901456000000003
MX_0.2-CHO_0.8,14.168099999999999,99.4340294546,7.17,-0.13357905989930927,2.54558696,134.84186762,-0.2526247,-0.0990504,0.77262,-0.7063699999999999,1.6528528000000002
MX_0.3-CHO_0.7,12.4611,100.2345379926,7.27,-0.1262514068992493,2.51549576,132.78126622,-0.2526157,-0.0989624,0.77122,-0.70247,1.7312368
MX_0.4-CHO_0.6,10.924800000000001,100.9549956768,7.36,-0.11965651919919533,2.48841368,130.92672496,-0.2526076,-0.0988832,0.76996,-0.69896,1.8017824
MX_0.5-CHO_0.5,9.2178,101.7555042148,7.460000000000001,-0.11232886619913536,2.45832248,128.86612356,-0.2525986,-0.0987952,0.7685600000000001,-0.69506,1.8801664000000002
MX_0.6-CHO_0.4,7.510800000000001,102.5560127528,7.5600000000000005,-0.10500121319907539,2.4282312800000003,126.80552216000001,-0.25258959999999997,-0.09870720000000001,0.7671600000000001,-0.69116,1.9585504
MX_0.7-CHO_0.3,5.803800000000001,103.3565212908,7.66,-0.09767356019901544,2.39814008,124.74492076000001,-0.2525806,-0.09861920000000002,0.76576,-0.6872600000000001,2.0369344000000003
MX_0.8-CHO_0.2,3.9261000000000004,104.23708068260001,7.7700000000000005,-0.08961314189894945,2.36503976,122.47825922,-0.25257070000000004,-0.09852240000000001,0.76422,-0.68297,2.1231568000000003
MX_0.9-CHO_0.1,2.0484,105.1176400744,7.88,-0.08155272359888349,2.33193944,120.21159768000001,-0.2525608,-0.0984256,0.76268,-0.6786800000000001,2.2093792
MX_0.1-HMPA_0.9,23.039400000000004,168.89307903516,10.579999999999998,-0.14230612319880576,2.5815211400000004,137.49283949999997,-0.25266180000000005,-0.09918,0.77476,-0.7118399999999999,0.9926795999999999
MX_0.2-HMPA_0.8,19.824600000000004,160.12821921444,10.22,-0.13260194879880655,2.54165726,134.7364725,-0.25264620000000004,-0.09906000000000001,0.7728400000000001,-0.7065600000000001,1.1755764
MX_0.3-HMPA_0.7,16.609800000000003,151.36335939372,9.86,-0.12289777439880736,2.50179338,131.98010549999998,-0.25263060000000004,-0.09894,0.77092,-0.70128,1.3584732
MX_0.4-HMPA_0.6,13.662900000000004,143.32890455806,9.530000000000001,-0.1140022811988081,2.46525149,129.45343574999998,-0.2526163,-0.09883,0.7691600000000001,-0.69644,1.5261286
MX_0.5-HMPA_0.5,10.983900000000002,136.02485470745998,9.23,-0.10591546919880877,2.43203159,127.15646324999999,-0.2526033,-0.09873,0.76756,-0.69204,1.6785425999999999
MX_0.6-HMPA_0.4,8.572800000000003,129.45120984192,8.96,-0.0986373383988094,2.4021336800000004,125.08918800000001,-0.2525916,-0.09864,0.76612,-0.68808,1.8157152000000003
MX_0.7-HMPA_0.3,6.1617000000000015,122.87756497638,8.690000000000001,-0.09135920759880999,2.37223577,123.02191275,-0.2525799,-0.09855000000000001,0.76468,-0.6841200000000001,1.9528878
MX_0.8-HMPA_0.2,4.0185,117.03432509589999,8.45,-0.08488975799881052,2.34565985,121.18433474999999,-0.2525695,-0.09847,0.7634000000000001,-0.6806000000000001,2.0748189999999997
MX_0.9-HMPA_0.1,1.8753000000000006,111.19108521542,8.21,-0.07842030839881106,2.31908393,119.34675675000001,-0.25255910000000004,-0.09839,0.7621200000000001,-0.67708,2.1967502000000003
MX_0.1-BTN_0.9,22.1247,71.64927730072,5.210000000000001,-0.14614491000052846,2.59719371,138.52380591000002,-0.25266160000000004,-0.09922210000000001,0.7749500000000001,-0.71306,1.3796152000000002
MX_0.2-BTN_0.8,20.2215,74.61090938839999,5.45,-0.13983219000038077,2.5712699499999996,136.73585495,-0.252652,-0.0991445,0.7737499999999999,-0.7096999999999999,1.4590839999999998
MX_0.3-BTN_0.7,18.3183,77.57254147608,5.69,-0.13351947000023306,2.54534619,134.94790399000001,-0.2526424,-0.0990669,0.7725500000000001,-0.7063400000000001,1.5385528
MX_0.4-BTN_0.6,16.1772,80.90437757472,5.960000000000001,-0.12641766000006693,2.51618196,132.93645916000003,-0.2526316,-0.09897960000000001,0.7712000000000001,-0.7025600000000001,1.6279552000000002
MX_0.5-BTN_0.5,14.0361,84.23621367336,6.2299999999999995,-0.11931584999990076,2.48701773,130.92501433,-0.2526208,-0.09889229999999999,0.7698499999999999,-0.69878,1.7173576
MX_0.6-BTN_0.4,11.4192,88.30845779392,6.5600000000000005,-0.11063585999969769,2.45137256,128.46658176,-0.2526076,-0.0987856,0.7682,-0.69416,1.8266272
MX_0.7-BTN_0.3,9.0402,92.01049790351999,6.859999999999999,-0.10274495999951308,2.41896786,126.23164306000001,-0.25259560000000003,-0.0986886,0.7667,-0.68996,1.9259632
MX_0.8-BTN_0.2,6.1854,96.45294603503999,7.22,-0.09327587999929154,2.38008222,123.54971662,-0.2525812,-0.0985722,0.7649,-0.68492,2.0451664000000003
MX_0.9-BTN_0.1,3.3306,100.89539416656,7.58,-0.08380679999907,2.34119658,120.86779018,-0.2525668,-0.0984558,0.7631000000000001,-0.67988,2.1643696
MX_0.1-APN_0.9,43.2978,107.88960344175999,8.0,-0.14689427340024508,2.60030508,138.80727608,-0.2526683,-0.09923910000000001,0.77556,-0.71404,1.6578132
MX_0.2-APN_0.8,38.5398,107.69055364816,8.0,-0.13874759940008755,2.5668462800000005,136.49206728000001,-0.2526553,-0.0991381,0.7739600000000001,-0.70964,1.7287612
MX_0.3-APN_0.7,34.2576,107.51140883392,8.0,-0.13141559279994575,2.5367333600000004,134.40837936,-0.25264359999999997,-0.0990472,0.7725200000000001,-0.70568,1.7926144000000002
